Buchungsdatum;Material;Kurztext;Menge;Einheit;Werk;Lieferant;Bewegungsart;Belegjahr
01.01.2024;MAT-DIESEL-001;Diesel fuel procurement;500,5;L;IN01;VENDOR-HPCL;101;2024
03.01.2024;MAT-DIESEL-001;Diesel fuel procurement;1200;L;IN01;VENDOR-HPCL;101;2024
05.01.2024;MAT-PNG-002;Piped Natural Gas;80,3;M3;IN02;VENDOR-GAIL;101;2024
08.01.2024;MAT-DIESEL-001;Diesel fuel procurement;750;L;IN01;VENDOR-BPCL;101;2024
10.01.2024;MAT-HFO-003;Heavy Fuel Oil;2,5;TO;IN02;VENDOR-IOCL;101;2024
12.01.2024;MAT-PNG-002;Piped Natural Gas;95;M3;IN02;VENDOR-GAIL;101;2024
15.01.2024;MAT-DIESEL-001;Diesel fuel procurement;0;L;IN01;VENDOR-HPCL;101;2024
18.01.2024;MAT-LPG-004;LPG Cylinders;450;KG;IN01;VENDOR-BPCL;101;2024
20.01.2024;MAT-DIESEL-001;Diesel fuel procurement;980,75;L;IN02;VENDOR-HPCL;101;2024
22.01.2024;MAT-HFO-003;Heavy Fuel Oil;5;TO;IN01;VENDOR-IOCL;101;2024
25.01.2024;MAT-PNG-002;Piped Natural Gas;;M3;IN03;VENDOR-GAIL;101;2024
28.01.2024;MAT-COAL-005;Thermal Coal;3,2;TO;IN02;VENDOR-COALIND;101;2024
30.01.2024;MAT-DIESEL-001;Diesel fuel procurement;1100;L;IN01;VENDOR-HPCL;101;2024
